partNumber,depth,height,length,weight
"B650-97,B650-97,024052333060","82","19.25","79","75"
"B651-31,B651-31,024052856804","18.13","36","63","171"
"B651-36,B651-36,024052856811","21.25","42.75","36.38","39"
"B651-46,B651-46,024052856828","18.13","52.88","39","174"
"B651-54,B651-54,024052856835","3","21.63","65.75","35"
"B651-56,B651-56,024052856842","3","21.63","81.75","42"
"B651-57,B651-57,024052856859","6.75","55.13","65.63","47"
"B651-58,B651-58,024052856866","6.75","55.13","81.63","58"
"B651-92,B651-92,024052856873","18","26.63","24","46"
"B651-94,B651-94,024052856880","84","14.88","80.75","38.85"
"B651-97,B651-97,024052856897","80","14.88","80.63","29"
"B680-31,B680-31,024052841336","17.13","36.25","62.13","170"
"B680-36,B680-36,024052841343","1.5","38","38","35"
"B680-46,B680-46,024052841350","17","50","36","157"
"B680-52,B680-52,024052841367","2.88","21.88","43.5","25"
"B680-53,B680-53,024052841374","2.88","52.13","45","35"
"B680-54,B680-54,024052841381","2.88","21.88","65.38","34"
"B680-56,B680-56,024052841398","2.88","21.88","81.63","45"
"B680-57,B680-57,024052841404","2.88","52.13","67","47"
"B680-58,B680-58,024052841411","2.88","52.13","83.13","60"
"B680-84,B680-84,024052841428","2.88","21.88","58.5","32"
"B680-86,B680-86,024052841435","75.75","16.63","55.5","26"
"B680-87,B680-87,024052841442","2.88","52.13","60.13","44"
"B680-92,B680-92,024052841459","17","26.75","25","49"
"B680-94,B680-94,024052841466","84.75","13.63","78.5","37"
"B680-97,B680-97,024052841480","80.75","13.63","78.5","28"
"B683-31,B683-31,024052894080","19","40","65","209"
"B683-36,B683-36,024052894097","1.5","33","44","30.8"
"B683-48,B683-48,024052894103","19","60.75","40","211.2"
"B683-81,B683-81,024052894110","4.5","60.5","63.5","110"
"B683-82,B683-82,024052894127","2.5","60.5","79.5","114.4"
"B683-92,B683-92,024052894134","18","28","27","61.6"
"B683-94,B683-94,024052894141","85.5","13.5","78.5","41.8"
"B683-97,B683-97,024052894158","81.5","13.5","78.5","28.6"
"B685-31,B685-31,024052841619","17","36","62","170"
"B685-36,B685-36,024052841626","1.5","38","38","35"
"B685-46,B685-46,024052841633","17","50.13","36","154"
"B685-52,B685-52,024052841640","2.88","21.88","43.5","24"
"B685-53,B685-53,024052841657","3.25","52","45.13","35"
"B685-54,B685-54,024052841664","2.88","22","65.5","33"
"B685-56,B685-56,024052841671","2.88","22","81.5","45"
"B685-57,B685-57,024052841688","3.25","52","67.13","46"
"B685-58,B685-58,024052841695","3.25","52","83.13","57"
"B685-84,B685-84,024052841701","2.88","22","58.5","32"
"B685-86,B685-86,024052841718","75.63","13.25","55.5","27"
"B685-87,B685-87,024052841725","3.25","52","60.13","44"
"B685-92,B685-92,024052841732","17","26.75","25","47"
"B685-94,B685-94,024052841749","84.5","13.25","78.5","38"
"B685-97,B685-97,024052841763","80.5","13.25","78.5","28"
"B687-31,B687-31,024052841770","17","36","62","172"
"B687-36,B687-36,024052841787","1.5","38","38","34"
"B687-46,B687-46,024052841794","17","50","36","153"
"B687-52,B687-52,024052841800","3","22","43.5","24"
"B687-53,B687-53,024052841817","3","52","45","35"
"B687-54,B687-54,024052841824","2","22","65.25","35"
"B687-56,B687-56,024052841831","2","22","81.25","45"
"B687-57,B687-57,024052841848","3.5","52","68","49"
"B687-58,B687-58,024052841855","3.5","52","84","58"
"B687-84,B687-84,024052841862","3","22","58.5","33"
"B687-86,B687-86,024052841879","75.75","7.88","0.75","27"
"B687-87,B687-87,024052841886","3","52","60.5","28"
"B687-92,B687-92,024052841893","17","26.75","25","48"
"B687-94,B687-94,024052841909","84.5","13.5","79","37"
"B687-97,B687-97,024052841916","80.75","7.75","0.75","28"
"B693-36,B693-36,024052224641","2","34.88","41.75","35"
"B693-57,B693-57,024052224689","3.25","61","64","73"
"B693-58,B693-58,024052224696","3","61","80","73"
"B7011-36,B7011-36,024052670721","1.3","30.67","41.85","19"
"B7011-96,B7011-96,024052670837","81.89","14.29","62.01",""
"B7011-97,B7011-97,024052670844","81.89","14.29","78.5","33"
"B718-154,B718-154,024052558524","9","18.63","65.25","36"
"B718-156,B718-156,024052558531","9","18.63","81.25","43"
"B718-157,B718-157,024052558548","3.75","61","68","62"
"B718-158,B718-158,024052558555","3.75","61","84","73"
"B718-31,B718-31,024052395891","19","40","66.13","215"
"B718-36,B718-36,024052395907","2","37.13","46.25","39"
"B718-46,B718-46,024052395914","20","55.75","44.25","194"
"B718-54,B718-54,024052395921","3.75","26","68","48"
"B718-56,B718-56,024052395938","3.75","26","84","57"
"B718-57,B718-57,024052395945","3.75","61","68","77"
"B718-58,B718-58,024052395952","3.75","61","84","87"
"B718-93,B718-93,024052395969","18","27.5","27.5","59"
"B718-94,B718-94,024052395976","84.5","14.75","79","50.6"
"B718-96,B718-96,024052395983","80.5","14.75","63","42"
"B718-97,B718-97,024052395990","80.5","14.75","79","44"
"B719-31,B719-31,024052421538","18","40","65.38","225"
"B719-36,B719-36,024052421545","1.63","36.5","42.25","38"
"B719-46,B719-46,024052421552","18","58.13","39.63","212"
"B719-54,B719-54,024052421569","5.75","30.25","67.75","83"
"B719-56,B719-56,024052421576","5.75","30.25","83.75","97"
"B719-57,B719-57,024052421583","4.5","60","67.75","107"
"B719-58,B719-58,024052421590","4.5","60","83.75","118"
"B719-74,B719-74,024052421606","25.5","21.63","65.38","71"
"B719-76,B719-76,024052421613","25.5","21.63","81.25","87"
"B719-77,B719-77,024052421620","10","57","64.75","78"
"B719-78,B719-78,024052421637","10","57","80.75","86"
"B719-92,B719-92,024052426588","18","30","28.88","89"
"B719-94,B719-94,024052421651","84.25","15","79","48.5"
"B719-95,B719-95,024052421668","84.25","18.75","79","106.2"
"B719-96,B719-96,024052421675","81.13","15","63","40"
"B719-97,B719-97,024052421682","81.13","15","79","40"
"B719-98,B719-98,024052421699","80.25","18.75","63","83"
"B719-99,B719-99,024052421712","80.25","18.75","79","93"
"B720-36,B720-36,024052378146","3","44.25","46.13","51"
"B724-56,B724-56,024052647709","3.63","22.13","60.13","40"
"B724-57,B724-57,024052647716","4.63","60.63","64","81"
"B724-58,B724-58,024052647723","4.63","60.5","80.13","101"
"B724-97,B724-97,024052647761","82.38","13.25","79","42"
"B731-36,B731-36,024052561319","1","33.75","44","28"
"B731-54S,B731-54S,024052561333","83.5","16","64.75","107"
"B731-56S,B731-56S,024052561340","83.5","16","80.75","126"
"B731-58,B731-58,024052561364","4.13","56","81.5","65"
"B731-94S,B731-94S,024052561388","87.5","16","80.75","125.6"
"B733-183,B733-183,024052652260","1.75","11.5","73.5","33"
"B733-21,B733-21,024052647778","17","36","54","133"
"B733-26,B733-26,024052647785","1.13","35","34.25","24"
"B733-31,B733-31,024052491319","18","40","65.38","208"
"B733-36,B733-36,024052491326","1.63","36.5","42.25","31"
"B733-45,B733-45,024052647792","18","48","34","133"
"B733-46,B733-46,024052491340","18","58","39.5","193"
"B733-50,B733-50,024052647808","16.75","11.38","75.25","34"
"B733-52S,B733-52S,024052652277","23","17.88","43.75","43"
"B733-53,B733-53,024052647822","9","50","41.75","35"
"B733-54,B733-54,024052491357","5.75","30.25","67.75","79"
"B733-56,B733-56,024052491364","5.75","30.25","83.75","93"
"B733-57,B733-57,024052491371","4.5","60","67.75","96"
"B733-58,B733-58,024052491388","4.5","60","83.75","114"
"B733-58P,B733-58P,024052647839","1.5","32.5","56.25","54"
"B733-58R,B733-58R,024052647846","56.25","64.88","78.5","89"
"B733-59,B733-59,024052647853","78.75","61.5","41.75","126"
"B733-74,B733-74,024052491395","25.5","21.63","65.38","72"
"B733-76,B733-76,024052491401","25.5","21.63","81.25","89"
"B733-77,B733-77,024052491418","10","57","64.75","67"
"B733-78,B733-78,024052491425","10","57","80.75","81"
"B733-84S,B733-84S,024052652284","23","17.88","58.63","62"
"B733-87,B733-87,024052647891","9","50","56.75","42"
"B733-91,B733-91,024052647907","17","26.63","22","37"
"B733-92,B733-92,024052491432","18","30.13","28.75","81"
"B733-94,B733-94,024052491449","84.25","15","79","48"
"B733-95,B733-95,024052491456","84.25","18.75","79","103.8"
"B733-96,B733-96,024052491463","81.13","15","63","42"
"B733-97,B733-97,024052491470","81.13","15","79","44"
"B733-98,B733-98,024052491487","80.25","18.75","63","90"
"B733-99,B733-99,024052491494","80.25","18.75","79","98"
"B738-94,B738-94,024052490367","83","13.75","79.13","48.2"
"B739-174S,B739-174S,024052841923","19.13","16.75","63.88","86"
"B739-176S,B739-176S,024052841930","19.13","16.75","80","100"
"B739-194,B739-194,024052841947","83.13","16.13","78.5","46"
"B739-197,B739-197,024052841954","79","10.38","0.63","37"
"B739-31,B739-31,024052832259","17.5","40","64.13","127"
"B739-36,B739-36,024052832266","1.63","35.13","40.13","30"
"B739-46,B739-46,024052832273","17.38","54.13","39.63","117"
"B739-74,B739-74,024052832280","79","13.88","62.38","49"
"B739-76,B739-76,024052832297","79","13.88","74.5","55"
"B739-77,B739-77,024052832303","6","55.13","63.38","60"
"B739-78,B739-78,024052832310","6","55.13","79","65"
"B739-92,B739-92,024052832327","17.25","26.75","26","44"
"B739-94,B739-94,024052832334","83","13.88","74.5","64"
"B740-154,B740-154,024052558579","9","18.63","65.13","44"
"B740-156,B740-156,024052558586","9","18.63","81.63","53"
"B740-157,B740-157,024052558593","3.75","61","68","68"
"B740-158,B740-158,024052558609","3.75","61","84","82"
"B740-31,B740-31,024052461183","18.88","40.13","66.13","190"
"B740-36,B740-36,024052461190","2.13","37.25","46.5","42"
"B740-46,B740-46,024052461206","20","55.5","44.13","187"
"B740-54,B740-54,024052461213","3.75","26","68","47"
"B740-56,B740-56,024052461220","3.75","26","84","62"
"B740-57,B740-57,024052461237","3.75","61","68","73"
"B740-58,B740-58,024052461244","3.75","61","84","83"
"B740-93,B740-93,024052461251","18.13","27.88","27.5","58"
"B740-94,B740-94,024052461268","84.5","14.75","79","52.2"
"B740-96,B740-96,024052461275","80.5","14.75","63","38"
"B740-97,B740-97,024052461282","80.5","14.75","79","43"
"B742-183,B742-183,024052824292","1.75","11.5","73.5","34"
"B742-21,B742-21,024052824308","17","36","54","163"
"B742-22,B742-22,024052824315","20","30.13","52.13","74"
"B742-25,B742-25,024052824322","1.5","29.13","28.13","19"
"B742-26,B742-26,024052824339","1.5","35.13","34.13","24"
"B742-31,B742-31,024052784176","18","40","65.5","228"
"B742-36,B742-36,024052784183","1.75","36.5","42.25","40"
"B742-45,B742-45,024052824346","18.13","48","34.13","143"
"B742-46,B742-46,024052784206","18","58.5","39.5","214"
"B742-50,B742-50,024052833607","16.75","11.38","75.25","35"
"B742-52S,B742-52S,024052824353","23","17.88","43.75","54"
"B742-53,B742-53,024052824360","9","50","41.75","40"
"B742-54,B742-54,024052784213","5.75","30.25","67.88","81"
"B742-56,B742-56,024052784220","5.75","30.5","83.88","95"
"B742-57,B742-57,024052784237","4.63","60","67.88","101"
"B742-58,B742-58,024052784244","4.63","60","83.88","122"
"B742-58P,B742-58P,024052833614","1.5","32.5","56.25","71"
"B742-58R,B742-58R,024052833621","56.25","64.88","78.5","89"
"B742-59,B742-59,024052833638","78.88","61.5","41.38","136"
"B742-74,B742-74,024052784251","25.38","21.75","65.38","80"
"B742-76,B742-76,024052784268","25.25","21.75","81.38","92"
"B742-77,B742-77,024052784275","7.75","57.13","64.75","69"
"B742-78,B742-78,024052784282","10","57","80.75","79"
"B742-84S,B742-84S,024052824377","23","17.88","58.63","79"
"B742-87,B742-87,024052824384","9","50","56.75","49"
"B742-91,B742-91,024052824391","17","26.75","22","40"
"B742-92,B742-92,024052784299","18","30.13","28.75","95"
"B742-94,B742-94,024052784305","85.13","15","79","46.7"
"B742-95,B742-95,024052784312","84.25","18.75","79","97.9"
"B742-96,B742-96,024052784329","81.13","15","63","37"
"B742-97,B742-97,024052784336","81.13","15","79","40"
"B742-98,B742-98,024052784343","80.25","18.75","63","82"
"B742-99,B742-99,024052784350","80.25","18.75","79","93"
"B743-194,B743-194,024052783926","86.63","17.75","78.88","95.6"
"B743-196,B743-196,024052783933","82.63","17.25","62.88","65"
"B743-197,B743-197,024052783940","82.63","17.75","78.88","90"
"B743-21,B743-21,024052510201","17.13","36.13","54.13","180"
"B743-22,B743-22,024052513752","18","59.38","54","101"
"B743-26,B743-26,024052510225","2.25","38.13","34.88","28"
"B743-31,B743-31,024052500974","18","40.5","63.88","200"
"B743-36,B743-36,024052500981","2.63","40","44","38"
"B743-45,B743-45,024052510232","17","48.25","34","166"
"B743-46,B743-46,024052500998","18.13","58.13","40.13","189"
"B743-52,B743-52,024052510249","3.13","18","45.13","16"
"B743-53,B743-53,024052510256","2.63","58.25","43.5","34"
"B743-54,B743-54,024052501049","2.75","26.25","66.75","29"
"B743-54S,B743-54S,024052783957","18.75","19.38","66.88","63"
"B743-56,B743-56,024052501056","2.5","26.13","82.63","32"
"B743-56S,B743-56S,024052783964","18.75","19.5","83","73"
"B743-57,B743-57,024052501063","3.5","71.13","65.5","68"
"B743-58,B743-58,024052501070","3.5","71.13","81.5","74"
"B743-60,B743-60,024052510263","17","12","75.5","36"
"B743-74,B743-74,024052507225","9.13","27","64.75","40"
"B743-76,B743-76,024052507232","9","27","80.5","49"
"B743-77,B743-77,024052507249","13","64.75","64.5","72"
"B743-78,B743-78,024052507256","15","64.75","79.5","85"
"B743-80,B743-80,024052510270","44.5","56","79.25","123"
"B743-83,B743-83,024052510287","77.75","11.75","40.63","28"
"B743-84,B743-84,024052510294","3.13","18","60","22"
"B743-86,B743-86,024052510300","77.75","11.5","55.63","28"
"B743-87,B743-87,024052510317","2.63","58.13","58.5","43"
"B743-91,B743-91,024052510324","16","27","24","30"
"B743-93,B743-93,024052501124","17","27.75","27","58"
"B743-94,B743-94,024052501131","86.5","13.5","79.75","50"
"B743-95,B743-95,024052507263","84.63","13.75","78.63","57.85"
"B743-96,B743-96,024052501162","82.63","13.5","62.75","36"
"B743-97,B743-97,024052501179","82.5","13.5","79.75","40"
"B743-98,B743-98,024052507270","80.63","13.75","62.75","47"
"B743-99,B743-99,024052507287","80.63","13.75","78.63","47"
"B744-31,B744-31,024052741773","18","42","64","156"
"B744-36,B744-36,024052741780","2.5","32.25","45.5","39"
"B744-46,B744-46,024052741797","18","56.13","37.25","131"
"B744-54,B744-54,024052741803","2.75","27","65.25","42"
"B744-56,B744-56,024052741810","2.5","27.13","79.5","50"
"B744-57,B744-57,024052741827","3.88","65","64.63","89"
"B744-94,B744-94,024052741858","86.38","13","79","48.55"
"B744-96,B744-96,024052741865","82.25","13.5","62.88","39"
"B744-97,B744-97,024052755435","82.38","13","79","38"
"B746-36,B746-36,024052647952","1","31.63","38.63","22"
"B750-25,B750-25,024052421743","3.25","37.75","33.88","25"
"B751-31,B751-31,024052794137","18","40.25","64.13","205"
"B751-36,B751-36,024052794144","3","40","43.88","33"
"B751-46,B751-46,024052794151","18","58.25","40","193"
"B751-54,B751-54,024052794168","2.5","26.13","66.5","34"
"B751-56,B751-56,024052794175","2.5","26","82.63","41"
"B751-57,B751-57,024052794182","4.75","71.38","65.5","62"
"B751-58,B751-58,024052794199","3.25","71.13","81.5","83"
"B751-93,B751-93,024052794205","17","27.88","27.13","74"
"B751-94,B751-94,024052794212","86.88","13.88","79","50.95"
"B751-96,B751-96,024052794229","82.75","13.88","63.38","43"
"B751-97,B751-97,024052794236","82.88","13.88","79","42"
"B757-50,B757-50,024052738544","19.75","11","54.75","28"
"B757-54S,B757-54S,024052738551","83","16","65","108"
"B757-57,B757-57,024052738575","7.5","55.5","67","81"
"B757-58,B757-58,024052738582","7.5","55.63","82","83"
"B757-60,B757-60,024052738599","20","11","70.63","37"
"B758-154,B758-154,024052791396","13.5","15","80","66"
"B758-156,B758-156,024052791419","13.5","15","96","78"
"B758-157,B758-157,024052791426","4","60.5","80","54"
"B758-158,B758-158,024052791433","4","60.5","96","64"
"B758-194,B758-194,024052791440","86.5","15","96.25","170"
"B758-197,B758-197,024052791464","82.5","15","96","165"
"B758-31,B758-31,024052784367","18","45.25","60","172"
"B758-36,B758-36,024052784374","1.5","30.63","40.5","32"
"B758-46,B758-46,024052784381","18","57","42.38","145"
"B758-54,B758-54,024052784398","4","25.25","64","58"
"B758-57,B758-57,024052784411","3.75","63.25","64.25","90"
"B758-58,B758-58,024052784428","4","63.25","80","110"
"B758-74,B758-74,024052784435","1.88","22","64.38","27"
"B758-76,B758-76,024052784442","1.88","22.13","80.25","35"
"B758-78,B758-78,024052784466","3.25","63.5","80.38","96"
"B758-92,B758-92,024052784473","17.5","26.75","24.25","57"
"B758-94,B758-94,024052784480","87","13.5","79.13","47.5"
"B758-96,B758-96,024052784497","83","13.25","63","39"
"B758-97,B758-97,024052784503","83","13.5","79.13","40"
"B759-31,B759-31,024052690071","18","41.88","60","143"
"B759-36,B759-36,024052690088","1.25","31.5","38.5","31"
"B759-46,B759-46,024052690095","18","53.75","40","132"
"B759-54S,B759-54S,024052690118","20.5","18.88","65.38","55"
"B759-56S,B759-56S,024052690132","20.5","18.88","81.38","58"
"B759-57,B759-57,024052690149","9.5","68.5","64","66"
"B759-58,B759-58,024052690156","9.5","68.5","80.13","83"
"B759-92,B759-92,024052690170","20","27.75","26","81"
"B759-96,B759-96,024052690194","81.75","18.13","62.75","73"
"B759-97,B759-97,024052690200","81.75","18.25","78.25","83"
"B762-36,B762-36,024052673562","2","36.13","45.88","41"
"B762-56S,B762-56S,024052673593","21.5","17","80.5","50"
"B762-58,B762-58,024052673616","2.88","60.13","83","72"
"B762-92,B762-92,024052673623","17.5","27","26","45"
"B762-94S,B762-94S,024052673630","85","17.13","80","120.7"
"B762-96S,B762-96S,024052673647","81","17.13","64","111"
"B762-97S,B762-97S,024052673654","81","17.13","80","114"
"B763-36,B763-36,024052672633","1.38","38","42","31"
"B763-94,B763-94,024052672701","85.75","13.63","78.75","44.85"
"B764-31,B764-31,024052869651","18.63","37.5","60","205"
"B764-36,B764-36,024052876758","2","41.75","46.88","42"
"B764-46,B764-46,024052869668","17.88","51","35.38","181"
"B764-50,B764-50,024052869675","6.5","33.75","6.5","42"
"B764-71,B764-71,024052869682","6.5","66.13","67.13","106"
"B764-72,B764-72,024052869699","6.5","66.13","82.88","125"
"B764-93,B764-93,024052869705","18.63","28","29.38","77"
"B764-94,B764-94,024052869712","86","12.75","78.5","36.2"
"B764-97,B764-97,024052869729","82","12.75","78.5","29"
"B767-36,B767-36,024052832358","1.63","35.13","40.13","30"
"B767-78,B767-78,024052832419","6.5","55.13","79","66"
"B767-95,B767-95,024052832433","83.13","14","78.5","65.1"
"B770-31,B770-31,024052813814","19","40","64.13","158"
"B770-36,B770-36,024052813821","3.75","38.25","45","46"
"B770-46,B770-46,024052813838","19","52","38","134"
"B770-54,B770-54,024052813845","5.5","27.25","68.38","58"
"B770-56,B770-56,024052813852","5.5","27.25","72.38","66"
"B770-57,B770-57,024052813869","5","68.13","68.38","94"
"B770-58,B770-58,024052813876","5.13","68","84.38","108"
"B770-93,B770-93,024052813883","18","27.88","28","77"
"B770-94,B770-94,024052813890","91.5","5","79.13","45.95"
"B770-96,B770-96,024052813906","81.63","14.5","62.63","36"
"B770-97,B770-97,024052813913","81.63","14.25","79.13","40"
"B772-31,B772-31,024052813920","17.5","40","66","189"
"B772-36,B772-36,024052813937","2.63","36.25","46","44"
"B772-46,B772-46,024052813944","17.5","57.25","42","186"
"B772-54S,B772-54S,024052813951","18.5","17","64.5","42"
"B772-56S,B772-56S,024052813968","18.5","17","80.5","47"
"B772-57,B772-57,024052813975","3","60.13","67.13","54"
"B772-58,B772-58,024052813982","2.88","60.25","83.13","68"
"B772-92,B772-92,024052813999","17.5","26.75","26","45"
"B772-94,B772-94,024052814002","85","17","80.13","115"
"B772-96,B772-96,024052814019","81","17","64.13","101"
"B772-97,B772-97,024052814088","81","17","80.13","110"
"B773-31,B773-31,024052833515","18","40.25","64","140"
"B773-36,B773-36,024052833522","2.38","38.25","43.88","39"
"B773-46,B773-46,024052833539","17.88","54.13","40.13","129"
"B773-54,B773-54,024052833546","86.13","13.5","63.5","54"
"B773-56,B773-56,024052833553","86.13","13.5","79.38","57"
"B773-57,B773-57,024052833560","4.25","66","63.5","51"
"B773-58,B773-58,024052833577","4.5","66","79.38","59"
"B773-92,B773-92,024052833584","17.13","26.75","27.25","51"
"B773-94,B773-94,024052833591","90.13","13.5","79.39","64.4"
"B774-31,B774-31,024052784510","19","43","64.25","172"
"B774-36,B774-36,024052784527","1.75","31","44.63","36"
"B774-46,B774-46,024052784534","18","54.25","42","144"
"B774-54,B774-54,024052784541","3.63","25.75","64","40"
"B774-56,B774-56,024052784558","3.5","25.75","80.13","46"
"B774-57,B774-57,024052784565","2.88","60.5","64","46"
"B774-58,B774-58,024052784572","2.88","60.5","80.13","57"
"B774-74S,B774-74S,024052784589","24.5","26.38","66.25","71"
"B774-96,B774-96,024052784657","80.63","14.63","63","33"
"B774-97,B774-97,024052784664","80.63","14.38","79","36"
"B774-99S,B774-99S,024052784688","80.63","18.5","79","78"
"B775-36,B775-36,024052378252","1.88","31.13","44.63","36"
"B775-54,B775-54,024052378276","3.75","25.5","64","39"
"B775-56,B775-56,024052378283","3.5","25.63","80.13","46"
"B775-96,B775-96,024052378429","80.63","14.38","62.88","31"
"B775-97,B775-97,024052378436","80.63","14.38","78.88","35"
"B775-99S,B775-99S,024052378450","80.63","17.75","79.13","88"
"B777-157,B777-157,024052513769","4.25","68","68.5","74"
"B777-158,B777-158,024052513776","4.25","68","84.5","88"
"B777-31,B777-31,024052513783","18","40.75","64","212"
"B777-36,B777-36,024052513790","3","38","45.5","39"
"B777-46,B777-46,024052513820","18","51.75","38","196"
"B777-54,B777-54,024052513837","4.5","18","67","27"
"B777-54S,B777-54S,024052513844","13","20.63","66","70"
"B777-56,B777-56,024052513851","4.5","18","83","34"
"B777-56S,B777-56S,024052513868","13","20.63","82","84"
"B777-57,B777-57,024052513875","4.25","68","68.5","71"
"B777-58,B777-58,024052513882","5","68","84.5","87"
"B777-93,B777-93,024052513899","17","27.88","28.13","55"
"B777-94,B777-94,024052513905","86","13.5","79","47.25"
"B777-96,B777-96,024052513912","82","13.5","63","36"
"B777-97,B777-97,024052513929","82","13.5","79","40"
"B783-09,B783-09,024052832440","13.88","17.13","52","23"
"B783-31,B783-31,024052832457","18.13","40.88","55.25","195"
"B783-36,B783-36,024052832464","1","32.38","43.13","35"
"B783-46,B783-46,024052832471","18.13","52.13","38","165"
"B783-81,B783-81,024052832488","6","54","69.38","102"
"B783-82,B783-82,024052832495","6","54","85.5","118"
"B783-93,B783-93,024052832501","17","26.13","26","64"
"B783-94,B783-94,024052832518","85.88","12.75","80.5","47.6"
"B783-97,B783-97,024052832525","81.88","12.75","80.5","46"
"B784-31,B784-31,024052814125","18","35.63","62","163"
"B784-36,B784-36,024052814132","1.75","38.63","39.38","34"
"B784-46,B784-46,024052814149","18","53.63","39.13","160"
"B784-54S,B784-54S,024052815863","21","17.63","63.88","47"
"B784-56S,B784-56S,024052815870","21","17.63","80","56"
"B784-57,B784-57,024052814170","2.75","60.13","65","85"
"B784-58,B784-58,024052814187","2.75","60.13","80.88","97"
"B784-94,B784-94,024052814200","11.25","3.75","86.75","53.5"
"B784-97,B784-97,024052814224","0.88","11.13","80.5","42"
"B787-31,B787-31,024052894486","18","39","65","165"
"B787-36,B787-36,024052894493","1.5","35","40","37.4"
"B787-46,B787-46,024052894509","18","54","40","140.8"
"B787-54,B787-54,024052894516","8.5","19","67.5","58"
"B787-56,B787-56,024052894523","8.5","19","83.5","66"
"B787-57,B787-57,024052894530","8","65","70.5","115"
"B787-58,B787-58,024052894547","8","65","86.5","132"
"B787-93,B787-93,024052894554","18","28.5","26","59.4"
"B787-94,B787-94,024052894561","87.5","16.75","82.5","73"
"B787-97,B787-97,024052894578","83.5","16.75","82.5","70.4"
"B788-36,B788-36,024052535945","3","37.75","45.5","33"
"B788-54S,B788-54S,024052535976","12.88","20.75","65.75","72"
"B788-57,B788-57,024052536041","4.25","68","68.5","64"
"B788-94,B788-94,024052536072","86","13.5","79","48.95"
"B790-31,B790-31,024052881448","18","36.75","65","254"
"B790-36,B790-36,024052881455","1.5","36.88","40","38"
"B790-46,B790-46,024052881462","18","50.63","36","197"
"B790-81,B790-81,024052881479","3.38","46","63","99"
"B790-82,B790-82,024052881486","3.38","46","79","117"
"B790-92,B790-92,024052881493","15.88","26","24","73"
"B790-94,B790-94,024052881516","84","12.5","78.75","66.79"
"B790-96,B790-96,024052881523","80.5","12.75","63","54"
"B790-97,B790-97,024052881530","80.5","12.75","79","59"
"B792-36,B792-36,024052833324","1","33.5","38.38","31"
"B792-54,B792-54,024052833348","83.75","16.5","65.13","62"
"B792-56,B792-56,024052833355","83.75","16.38","81.13","62"
"B792-58,B792-58,024052833379","3","68","81","109"
"B792-94,B792-94,024052833393","87.75","16.38","81.13","72.6"
"B796-31,B796-31,024052858488","18","35.63","62","201"
"B796-36,B796-36,024052858495","1.63","38.5","39.38","37"
"B796-46,B796-46,024052858501","18","53.63","39.13","200"
"B796-54,B796-54,024052858518","2.25","17.63","64","40"
"B796-56,B796-56,024052858525","2.25","17.63","80","47"
"B796-57,B796-57,024052858532","8.25","68.13","65","84"
"B796-58,B796-58,024052858549","8.25","68.13","81","98"
"B796-92,B796-92,024052858556","18","26.38","26","53"
"B796-94,B796-94,024052858563","83.38","14","78.38","36.5"
"B796-97,B796-97,024052858570","19.38","14","78.38","25"
"B799-31,B799-31,024052824490","19.25","39.38","65","178"
"B799-36,B799-36,024052824513","2.88","38.63","40.25","43"
"B799-46,B799-46,024052824537","19.13","58.25","39.63","149"
"B799-54,B799-54,024052824551","4.38","25.63","68.13","44"
"B799-56,B799-56,024052824575","4.75","25.63","83.75","52"
"B799-57,B799-57,024052824599","5.88","62","68","86"
"B799-58,B799-58,024052824612","5.75","62.13","84","90"
"B799-91,B799-91,024052824629","18.25","29.63","25.25","83"
"B799-94,B799-94,024052824636","82.13","17","79.75","43.25"
"B799-96,B799-96,024052824643","78.25","17","63.88","37"
"B799-97,B799-97,024052824650","78.13","17","79.75","37"
"B803-31,B803-31,024052536119","19.75","39","73.5","240"
"B803-36,B803-36,024052536126","4.25","45","45","54"
"B803-46,B803-46,024052536133","19.75","54.5","42","180"
"B803-54,B803-54,024052536140","5.5","24.25","67.5","61"
"B803-56,B803-56,024052536157","5.75","24.25","83","73"
"B803-57,B803-57,024052536164","8","72.38","64.25","94"
"B803-58,B803-58,024052536171","8","73","80.25","110"
"B803-92,B803-92,024052536188","19.75","30.25","32","92"
"B803-94,B803-94,024052536195","84.25","13.63","79.5","53.75"
"B803-96,B803-96,024052536201","80.25","13.25","63.38","39"
"B803-97,B803-97,024052536218","80.25","13.63","79.5","40"
"B813-76,B813-76,024052676600","5","25.13","84.88","63"
"B813-78,B813-78,024052676624","10","64","80.88","106"
"B813-94,B813-94,024052536317","86","13.75","78.63","43.35"
"B813-97,B813-97,024052536331","82","13.75","78.63","38"
"B821-31,B821-31,024052882025","18","38.38","63.75","229"
"B821-36,B821-36,024052882032","1.63","38.13","41","40"
"B821-46,B821-46,024052882049","18","57.38","40.13","215"
"B821-54,B821-54,024052882056","86","17.38","62.88","83"
"B821-56,B821-56,024052882063","86","17.38","78.88","94"
"B821-57,B821-57,024052882070","4.88","58.13","64.5","82"
"B821-58,B821-58,024052882087","4.88","58.13","80.38","96"
"B821-91,B821-91,024052882100","18","26.75","26","53"
"B821-94,B821-94,024052884425","90","17.38","78.88","104.4"
"B822-31,B822-31,024052882117","20","37.75","64","231"
"B822-36,B822-36,024052882124","21.5","39.5","41.63","44"
"B822-46,B822-46,024052882131","20","57.63","42.25","225"
"B822-54S,B822-54S,024052882148","20.75","18","63.5","110"
