partNumber,depth,height,length,weight
"B755-36,B755-36,024052649284","1.5","40","43.88","42"
"B755-56,B755-56,024052649314","3.25","28.25","83.5","58"
"B760-31,B760-31,024052691108","17.5","41.5","63.38","156"
"B760-36,B760-36,024052691115","1.38","34.75","40","33"
"B760-54,B760-54,024052691139","89.38","16","79","161"
"B760-56,B760-56,024052691146","89.38","16","95","171"
"B760-57,B760-57,024052691153","2.25","54","79","87"
"B760-58,B760-58,024052691160","2.25","54","95","98"
"B760-94,B760-94,024052691221","93.25","16","95","167"
"B765-58,B765-58,024052515237","3.38","68","83","88"
"B765-94,B765-94,024052515251","84.88","16.13","78.88","87.5"
"B765-97,B765-97,024052515275","80.88","16.13","78.88","87"
"B766-194,B766-194,024052794472","86.5","16.25","80.75","40"
"B766-196,B766-196,024052794489","82.75","16","65.75","35"
"B766-197,B766-197,024052794496","82.5","16.25","80.75","35"
"B766-74,B766-74,024052794571","4","27","66.75","24"
"B766-76,B766-76,024052794588","4","27.75","82.5","25"
"B766-77,B766-77,024052794595","4","62.38","68.75","39"
"B766-78,B766-78,024052794601","4.25","61.75","84.75","43"
"B798-36,B798-36,024052561791","1.13","30","44","33"
"B798-82,B798-82,024052561838","103.5","66.63","82.5","168"
"B798-94,B798-94,024052561852","5.5","9.5","91.5","43.65"
"B804-50,B804-50,024052648362","23.25","10.63","54","66"
"B804-58,B804-58,024052648423","7.75","55.75","81","74"
"B804-94S,B804-94S,024052648447","83.88","16.25","80.13","97.75"
"B814-183,B814-183,024052794816","77.13","15.5","40.38","51"
"B814-186,B814-186,024052794823","77.13","15.5","55.38","69"
"B814-26,B814-26,024052794854","1.38","36.75","32.75","25"
"B814-45,B814-45,024052794861","17.13","46.63","34","103"
"B814-52S,B814-52S,024052794878","21.5","17","43.13","27"
"B814-53,B814-53,024052794885","3.63","54","43","30"
"B814-84S,B814-84S,024052794892","21.5","17","58","39"
"B814-87,B814-87,024052794908","3.63","54","58.13","36"
"B816-31,B816-31,024052793352","18","43.75","62","138"
"B816-36,B816-36,024052793369","1.63","33.13","40","32"
"B816-46,B816-46,024052793376","19.88","55.5","42.13","112"
"B816-48,B816-48,024052793383","20","57.13","44.63","133"
"B816-50S,B816-50S,024052793390","4.38","64","4.38","63"
"B816-51S,B816-51S,024052793406","4.38","64","4.38","64"
"B816-71,B816-71,024052793413","2.13","42","55.5","68"
"B816-72,B816-72,024052793420","2","41.88","74.25","76"
"B816-91,B816-91,024052793437","17.88","27.75","28","40"
"B816-95,B816-95,024052793444","85","18.88","79","89.4"
"B816-98,B816-98,024052793451","81","19","62.88","74"
"B816-99,B816-99,024052793468","81","18.88","79","84"
"B872-31,B872-31,024052828184","18.13","36","62","225"
"B872-36,B872-36,024052828191","1.5","37.38","37.38","44"
"B872-46,B872-46,024052828207","18.18","56","35.88","203"
"B872-54,B872-54,024052828214","82","11.5","64.25","97"
"B872-56,B872-56,024052828221","82","11.5","80","114"
"B872-57,B872-57,024052828238","2","48","64.25","43"
"B872-58,B872-58,024052828245","2","48","80.25","52"
"B872-94,B872-94,024052828269","84.88","11.38","80","112"
"D199-01,D199-01,024052263626","22.75","38.25","19","17.5"
"D199-15,D199-15,024052260977","42","30.63","42","45"
"D712-25,D712-25,024052310290","86.13","29.88","42","139"
"D734-13,D734-13,024052820348","54.13","36.25","54.13","220"
"D748-01,D748-01,024052561890","22.75","38","19","17"
"D748-45,D748-45,024052561906","92","30.13","32.13","163"
"D748-60,D748-60,024052561913","18","37.13","56.13","143"
"D749-01,D749-01,024052648591","23.5","38","19.5","18"
"D749-35,D749-35,024052648607","90","30","41","131"
"D749-60,D749-60,024052648614","18","33","54.25","132"
"D756-25T,D756-25T,024052691337","86","3.13","42","99"
"D766-01,D766-01,024052794915","28.5","38","20","29"
"D766-02,D766-02,024052794922","28.5","38","20","29"
"D814-124,D814-124,024052561999","23.25","43.75","20.13","18"
"D814-13,D814-13,024052562057","54","36.38","54","83"
"M100-52,M100-52,024052389708","19","2","5.75","7"
"M30801,M30801,024052886535","75","16","39","8"
"M30801P,M30801P,024052886542","75","16","39","2"
"M30802,M30802,024052886559","75","16","54","8"
"M30802P,M30802P,024052886566","75","16","54","2"
"M30803,M30803,024052886573","80","16","60","12"
"M30803P,M30803P,024052886580","80","16","60","2"
"M30804,M30804,024052886597","80","16","76","14"
"M30804P,M30804P,024052886603","80","16","76","2"
"M30805,M30805,024052886610","84","16","72","12"
"M30805P,M30805P,024052886627","84","16","72","2"
"M30806,M30806,024052886634","80","16","39","9"
"M30806P,M30806P,024052886641","80","16","39","2"
"M30901,M30901,024052886658","75","16","39","8"
"M30901P,M30901P,024052886665","75","16","39","2"
"M30902,M30902,024052886672","75","16","54","12"
"M30902P,M30902P,024052886689","75","16","54","2"
"M30903,M30903,024052886696","80","16","60","12"
"M30903P,M30903P,024052886702","80","16","60","2"
"M30904,M30904,024052886719","80","16","76","12"
"M30904P,M30904P,024052886726","80","16","76","3"
"M30905,M30905,024052886733","84","16","72","16"
"M30905P,M30905P,024052886740","84","16","72","3"
"M30906,M30906,024052886757","80","16","39","8"
"M30906P,M30906P,024052886764","80","16","39","2"
"M31001,M31001,024052886771","75","16","39","11"
"M31001P,M31001P,024052886788","75","16","39","2"
"M31002,M31002,024052886795","75","16","54","14"
"M31002P,M31002P,024052886801","75","16","54","2"
"M31003,M31003,024052886818","80","16","60","16"
"M31003P,M31003P,024052886825","80","16","60","3"
"M31004,M31004,024052886832","80","16","76","20"
"M31004P,M31004P,024052886849","80","16","76","4"
"M31005,M31005,024052886856","84","16","72","20"
"M31005P,M31005P,024052886863","84","16","72","4"
"M31006,M31006,024052886870","80","16","39","11"
